Result,Keyword,Screening,Citation,Author,Year,Title,Journal,Vol,Nr,Pages
"Water Science & Technology 27:3-4 (1993) 329-333 - M. Abbaszadegan et al. - Evaluation of a Microbiological Water Purifier for Inactivation of Viruses, Bacteria and Giardia Cysts",Consumer,Selected,Abbaszadegan 1993,M. Abbaszadegan,1993,"Evaluation of a Microbiological Water Purifier for Inactivation of Viruses, Bacteria and Giardia Cysts",Water Science & Technology,27,3-4,329-333
Water Practice & Technology 3:4 (2008) - W.B. Adams - Major Water Industry Reform in Australia: A Case Study from Queensland,Consumer,Selected,Adams 2008,W.B. Adams,2008,Major Water Industry Reform in Australia: A Case Study from Queensland,Water Practice & Technology,3,4,
Water Policy 8:2 (2006) 111-126 F. N. Addo-Yobo and C. Njiru - Role of consumer behaviour studies in improving water supply delivery to the urban poor,Consumer,Selected,Addo-Yobo and Njiru 2006,F.N. Addo-Yobo and C. Njiru,2006,Role of consumer behaviour studies in improving water supply delivery to the urban poor,Water Policy,8,2,111-126
Water Policy 8:2 (2006) 111-126 F. N. Addo-Yobo and C. Njiru - Role of consumer behaviour studies in improving water supply delivery to the urban poor,Marketing,Selected,Addo-Yobo and Njiru 2006,F.N. Addo-Yobo and C. Njiru,2006,Role of consumer behaviour studies in improving water supply delivery to the urban poor,Water Policy,8,2,111-126
Journal of Water Supply: Research and Technology-AQUA 55:6 (2006) 419-425 - Felix N. Addo-Yobo et al. - Determinants of households' intention to pay for improved water services: an application of the Theory of Reasoned Action,Marketing,Selected,Addo-Yobo et al. 2006,F.N. Addo-Yobo,2006,Determinants of households' intention to pay for improved water services: an application of the Theory of Reasoned Action,"Journal of Water Supply, Research and Technology---Aqua",55,6,419-425
Water Policy 12:2 (2010) 203-219 - Ismael Aguilar-Benitez and Jean-Daniel Saphores - Public accountability and performance of two border water utilities,Customer,Selected,Aguilar-Beniteza and Saphores 2010,Ismael Aguilar-Benitez and Jean-Daniel Saphores,2010,Public accountability and performance of two border water utilities,Water Policy,12,2,203-219
Journal of Water Supply: Research and Technology-AQUA 63:7 (2014) 525-531 - M. Goksel Akpinar and Mevlut Gul - An assessment of consumer preferences on the drinking water market: today to the future,Consumer,Selected,Akpir & Gul 2014,M. Goksel Akpinar and Mevlut Gul,2014,An assessment of consumer preferences on the drinking water market: today to the future,"Journal of Water Supply, Research and Technology---Aqua",63,7,525-531
Journal of Water Supply: Research and Technology-AQUA 57:4 (2008) 279-288 - Jasem M. Alhumoud - Freshwater consumption in Kuwait: analysis and forecasting,Customer,Selected,Alhumoud 2008,Jasem M. Alhumoud,2008,Freshwater consumption in Kuwait: analysis and forecasting,"Journal of Water Supply, Research and Technology---Aqua",57,4,279-288
"Water Policy 15:3 (2013) 458-478 - Richard Allan et al. - The impact of regulation, ownership and business culture on managing corporate risk within the water industry",Customer,Selected,Allan et al. 2013,Richard Allan,2013,"The impact of regulation, ownership and business culture on managing corporate risk within the water industry",Water Policy,15,3,458-478
Journal of Water Supply: Research and Technology-AQUA 62:8 (2013) 552-562 - Ernest Effah Ameyaw et al. - Improving equity in intermittent water supply systems,Consumer,Selected,Ameyaw et al. 2013,Ameyaw,2013,Improving equity in intermittent water supply systems,"Journal of Water Supply, Research and Technology---Aqua",62,8,552-562
Water Science & Technology: Water Supply 14:2 (2014) 329-336 - P. K. Amoatey et al. - Leakage estimation in water networks based on two categories of night-time users: a case study of a developing country network,Customer,Selected,Amoatey et al. 2013,Amoatey,2013,Leakage estimation in water networks based on two categories of night-time users: a case study of a developing country network,Water Science & Technology: Water Supply,14,2,329-336
Water Science & Technology 47:7-8 (2003) 57-63 - M. Arbon and M. Ireland - Water recycling: a major new initiative for Melbourne - crucial for a sustainable future,Customer,Selected,Arbon and Ireland 2003,Arbon and Ireland,2003,Water recycling: a major new initiative for Melbourne - crucial for a sustainable future,Water Science & Technology,47,7-8,57-63
Water Science & Technology 63:10 (2011) 2193-2198 - A. R. Archer et al. - Field investigation of arsenic in ceramic pot filter-treated drinking water,Consumer,Selected,Archer et al. 2011,Archer,2011,Field investigation of arsenic in ceramic pot filter-treated drinking water,Water Science & Technology,63,10,2193-2198
Water Supply 4:5-6 (2005) 29-33 - E. Arvin et al. - Biodegradation of gasoline compounds (BTEX) in a water works sand filter,Consumer,Selected,Arvin et al. 2005,Arvin,2005,Biodegradation of gasoline compounds (BTEX) in a water works sand filter,Water Supply,4,5-6,29-33
Water Science & Technology 55:5 (2007) 203-208 - B.U. Bae et al. - Taste and odour issues in South Korea's drinking water industry,Customer,Selected,Bae et al. 2007,Bae,2007,Taste and odour issues in South Korea's drinking water industry,Water Science & Technology,55,5,203-208
Water Science & Technology: Water Supply 14:6 (2014) 1035-1044 - M. Bakker et al. - Analysis of historic bursts and burst detection in water supply areas of different size,Customer,Selected,Bakker et al. 2014,Bakker,2014,Analysis of historic bursts and burst detection in water supply areas of different size,Water Science & Technology: Water Supply,14,6,1035-1044
Journal of Water and Health 5:3 (2007) 385-394 - Anyana Banerjee et al. - Cost and financial sustainability of a household-based water treatment and storage intervention in Zambia,Marketing,Selected,Banerjee et al. 2007,Banerjee,2007,Cost and financial sustainability of a household-based water treatment and storage intervention in Zambia,Journal of Water and Health,5,3,385-394
Water Science & Technology: Water Supply 1:4 (2001) 193-200 - J. Baron - Monitoring strategy for lead in drinking water at consumer's tap: field experiments in France,Consumer,Selected,Baron 2001,J. Baron,2001,Monitoring strategy for lead in drinking water at consumer's tap: field experiments in France,Water Science & Technology: Water Supply,1,4,193-200
Water Policy 11:4 (2009) 413-426 - Greg Barrett and Margaret Wallace - Characteristics of Australian urban residential water users: implications for water demand management and whole of the system water accounting framework,Consumer,Selected,Barrett and Wallace 2009,Greg Barrett and Margaret Wallace,2009,Characteristics of Australian urban residential water users: implications for water demand management and whole of the system water accounting framework,Water Policy,11,4,413-426
